Equipment_ID,Base_ID,Base,Type_ID,Equipment_Type,Category,Status,Last_Service,Next_Service,Fuel_Used_L,Operating_Hours,Maintenance_Cost_INR,Spare_Parts,Readiness_Pct,Downtime_Days,Is_Critical
EQ-1001,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-25,2026-09-23,546,197,20500,Available,80.6,0,0
EQ-1002,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-26,2026-09-24,482,168,19200,Available,95.8,0,0
EQ-1003,B04,Delhi,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-08,2026-09-06,586,204,21200,Available,96.0,0,0
EQ-1004,B03,Bhopal,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-23,2026-08-07,544,351,71000,Low,90.2,0,0
EQ-1005,B07,Siliguri,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-17,2026-08-31,340,245,49400,Available,90.8,0,0
EQ-1006,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-20,2026-09-18,410,164,19800,Available,96.8,0,0
EQ-1007,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-07-30,2026-09-28,658,246,37600,Low,45.3,5,1
EQ-1008,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Maintenance,2026-07-13,2026-10-11,1142,233,101700,Available,64.8,15,0
EQ-1009,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-28,2026-09-11,648,171,57300,Available,82.0,0,0
EQ-1010,B01,Lucknow,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-31,2026-09-29,558,199,22100,Low,84.0,0,0
EQ-1011,B02,Kanpur,ET05,Mobile Radar Unit,Air Defense,Operational,2026-07-07,2026-09-05,405,171,120900,Available,92.5,0,0
EQ-1012,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-06-21,2026-08-05,315,232,53800,Available,95.3,0,0
EQ-1013,B02,Kanpur,ET04,Tactical UAV Launcher,Surveillance Systems,Operational,2026-07-23,2026-08-22,229,207,101400,Available,95.1,0,0
EQ-1014,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-12,2026-08-11,215,88,14900,Available,95.3,0,0
EQ-1015,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-09,2026-09-07,239,97,14600,Available,87.7,0,0
EQ-1016,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-06-25,2026-09-23,766,166,69700,Available,96.7,0,0
EQ-1017,B05,Leh,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-26,2026-09-09,299,199,58000,Available,93.6,0,0
EQ-1018,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-07-23,2026-10-21,1093,210,77400,Critical Shortage,86.9,0,0
EQ-1019,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-12,2026-09-10,359,134,15900,Low,93.7,0,0
EQ-1020,B02,Kanpur,ET03,Field Diesel Generator,Power Logistics,Maintenance,2026-06-29,2026-08-13,266,175,59200,Critical Shortage,57.3,11,1
EQ-1021,B08,Pune,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-08,2026-09-06,626,240,23000,Available,87.2,0,0
EQ-1022,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-07,2026-09-05,431,164,20800,Available,95.0,0,0
EQ-1023,B01,Lucknow,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-11,2026-08-09,891,198,83300,Available,90.9,0,0
EQ-1024,B02,Kanpur,ET01,Heavy Tactical Truck,Transport Fleet,Maintenance,2026-05-28,2026-07-27,263,110,24100,Low,56.9,18,1
EQ-1025,B05,Leh,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-23,2026-08-22,425,150,20200,Available,89.6,0,0
EQ-1026,B04,Delhi,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-03,2026-08-17,375,266,54500,Low,82.7,0,0
EQ-1027,B03,Bhopal,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-07-26,2026-09-24,305,123,17800,Low,87.3,0,0
EQ-1028,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-07-01,2026-09-14,784,213,49300,Critical Shortage,96.4,0,0
EQ-1029,B04,Delhi,ET06,Artillery Tractor,Heavy Towing,Operational,2026-06-05,2026-08-19,622,164,57000,Available,85.6,0,0
EQ-1030,B07,Siliguri,ET01,Heavy Tactical Truck,Transport Fleet,Operational,2026-06-28,2026-08-27,464,161,21000,Available,82.2,0,0
EQ-1031,B02,Kanpur,ET06,Artillery Tractor,Heavy Towing,Out of Service,2026-05-16,2026-07-30,552,164,98400,Available,37.8,25,1
EQ-1032,B03,Bhopal,ET02,Armored Personnel Carrier (APC),Combat Armor,Operational,2026-05-04,2026-08-02,1436,287,95700,Available,96.5,0,0
EQ-1033,B07,Siliguri,ET03,Field Diesel Generator,Power Logistics,Operational,2026-07-08,2026-08-22,349,259,59600,Available,95.7,0,0
